28-02-2021 12:52:06: Start!
Date Time Episode Position Velocity Control Exploration Noise
28-02-2021 12:52:06:,0,0.0003888153290252383,-0.001388644346600621,-0.001471203386626475,0.2995
28-02-2021 12:52:08:,1,0.0003888153290252383,-0.001388644346600621,-0.001471203386626475,0.299
28-02-2021 12:52:08:,2,0.0003888153290252383,-0.001388644346600621,-0.001471203386626475,0.2985
28-02-2021 12:52:12:,3,-2.420496794842744,54.9564090212391,3.0,0.298
28-02-2021 12:52:16:,4,-1.4589712901393699,-53.06527375509432,-3.0,0.2975
28-02-2021 12:52:20:,5,0.9151769154793965,-52.599940796176156,-3.0,0.297
28-02-2021 12:52:24:,6,0.29486335162863897,-42.841620144436654,3.0,0.2965
28-02-2021 12:52:28:,7,3.0507995396020076,-53.3755606996323,-3.0,0.296
28-02-2021 12:52:33:,8,0.1647923194373928,-49.46478829198201,-3.0,0.2955
28-02-2021 12:52:37:,9,-2.3830418705184075,-56.26846668088911,-3.0,0.295
28-02-2021 12:52:41:,10,-0.15364387870738083,-51.99477924953647,-3.0,0.2945
28-02-2021 12:52:47:,11,1.702712231130644,-54.93992705232595,-3.0,0.294
28-02-2021 12:52:52:,12,-1.5038940750323593,-54.015739643137636,-3.0,0.2935
28-02-2021 12:52:56:,13,-2.0071201572693442,-53.191056545558446,-3.0,0.293
28-02-2021 12:53:01:,14,1.7344942584646685,-54.74380370903571,-3.0,0.2925
28-02-2021 12:53:05:,15,0.7018428712483638,-38.0311624136441,-3.0,0.292
28-02-2021 12:53:10:,16,-0.2652485723927742,-51.63918539665521,-3.0,0.2915
28-02-2021 12:53:14:,17,-3.0919974669563888,-54.7879032018263,-3.0,0.291
28-02-2021 12:53:19:,18,4.370154394361947e-06,-1.556145232626868e-05,-4.1264612565415374e-05,0.2905
28-02-2021 12:53:23:,19,-2.094457735250774,53.7689770253842,3.0,0.29
28-02-2021 12:53:28:,20,1.2774087939310914,-53.44136724774415,-3.0,0.2895
28-02-2021 12:53:34:,21,-0.3054643425286687,-50.75393807111632,-3.0,0.289
28-02-2021 12:53:39:,22,-0.9156372535853481,-46.93386206029218,-3.0,0.2885
28-02-2021 12:53:44:,23,-0.004775228640873319,0.026480413977521298,0.011159969621999968,0.288
28-02-2021 12:53:48:,24,-2.907918043547969,-56.0256787782497,-3.0,0.2875
28-02-2021 12:53:53:,25,-0.7948715966468884,-52.32553409771072,-3.0,0.287
28-02-2021 12:53:58:,26,2.8854281385211675,-56.56567667383821,-3.0,0.2865
28-02-2021 12:54:03:,27,0.6514940407372731,-52.61067879127232,-3.0,0.286
28-02-2021 12:54:07:,28,-0.6160265222046735,-50.696693600730676,-3.0,0.2855
28-02-2021 12:54:12:,29,-0.09850539803952385,-49.99883064798403,-3.0,0.285
28-02-2021 12:54:17:,30,2.0646976381932802e-06,-5.574808511948745e-06,-3.490260063704379e-05,0.2845
28-02-2021 12:54:24:,31,2.203849983523956,-54.51940713935135,-3.0,0.284
28-02-2021 12:54:29:,32,1.3681455075520432e-06,-6.471318773311936e-07,-3.556844657834228e-05,0.2835
28-02-2021 12:54:35:,33,-1.0297661879837352,-53.15262574238257,-3.0,0.283
28-02-2021 12:54:40:,34,2.5515432240734595,-53.87840598092616,-3.0,0.2825
28-02-2021 12:54:45:,35,3.1137608771063836,-55.91436620938913,-3.0,0.282
28-02-2021 12:54:50:,36,-3.000443847290288,-55.22824386890096,-3.0,0.2815
28-02-2021 12:54:55:,37,1.0800235155101743,-53.252743407718334,-3.0,0.28099999999999997
28-02-2021 12:55:00:,38,3.1649827252344664e-06,-9.918123693303813e-06,-4.0292994005983324e-05,0.28049999999999997
28-02-2021 12:55:05:,39,2.7461576794785003e-06,1.2542741720821337e-06,-3.523468529824408e-05,0.27999999999999997
28-02-2021 12:55:10:,40,1.6258354205156422e-06,3.9149344093020947e-07,-3.619471690881462e-05,0.27949999999999997
28-02-2021 12:55:17:,41,1.0750834749776428,50.888628127018734,3.0,0.27899999999999997
28-02-2021 12:55:22:,42,-0.9246542510540823,50.06354976292361,3.0,0.27849999999999997
28-02-2021 12:55:28:,43,2.8935432872412292e-05,-0.00019055170025917417,-0.00010136982988161866,0.27799999999999997
28-02-2021 12:55:34:,44,1.2912378245300005e-05,-9.067578569689238e-05,-8.839047122408564e-05,0.27749999999999997
28-02-2021 12:55:39:,45,2.171931657191095e-06,-4.223514850835784e-06,-3.8417349044166354e-05,0.27699999999999997
28-02-2021 12:55:44:,46,1.071667588448122e-06,2.8699409591460504e-07,-3.42554689788836e-05,0.27649999999999997
28-02-2021 12:55:50:,47,-2.2974141377346586,0.47518084346716133,3.0,0.27599999999999997
28-02-2021 12:55:55:,48,-2.359923130798793,-0.24894715755106647,2.240258533462389,0.27549999999999997
28-02-2021 12:56:00:,49,-1.9058316316554769,44.466465388353825,3.0,0.27499999999999997
28-02-2021 12:56:06:,50,1.703375626771475e-06,-4.2646617628538867e-07,-3.566551208598491e-05,0.27449999999999997
28-02-2021 12:56:13:,51,2.299189314112223,-1.3167694693876024,-2.0576709722316204,0.27399999999999997
28-02-2021 12:56:19:,52,-0.39007782630613574,41.998497637004334,3.0,0.27349999999999997
28-02-2021 12:56:24:,53,0.0008240065568165811,-0.00486113411682989,-0.004578300431960766,0.27299999999999996
28-02-2021 12:56:30:,54,2.3855636661629376e-06,1.5220415036863634e-06,-4.665880718990127e-05,0.27249999999999996
28-02-2021 12:56:36:,55,1.3173464527977683,-53.51946080925444,-3.0,0.27199999999999996
