16-12-2020 06:49:56: Start!
Date Time Episode Position Velocity Reward 
16-12-2020 06:49:59: 0 -2.9263347195451512 0.2135994166738664 -4278.230473350868
16-12-2020 06:50:03: 1 -2.886459650645424 0.2523741084703997 -4232.464403461086
16-12-2020 06:50:07: 2 -2.960046252823961 0.1805507753978167 -4229.551396492211
16-12-2020 06:50:14: 3 2.3440499038653115 -0.715641944143617 -3937.313498502071
16-12-2020 06:50:22: 4 2.4537030447197665 -0.6349081351926263 -3687.179810192994
16-12-2020 06:50:30: 5 2.454375653859014 -0.6343883421077932 -3727.4626918667664
16-12-2020 06:50:38: 6 -2.367253428464835 0.699243851155238 -3877.6054701225007
16-12-2020 06:50:47: 7 2.3013298650812715 -0.7448184958176294 -6967.204006303905
16-12-2020 06:50:56: 8 0.08259083814831669 -0.08249697475572794 -16596.86156289633
16-12-2020 06:51:05: 9 2.366706378605109 -0.6996348232788924 -3883.3865826700085
16-12-2020 06:51:15: 10 2.3101191709426097 -0.7389249873914808 -3803.413290107843
16-12-2020 06:51:25: 11 -2.4443244458982525 0.6421258960353269 -3935.3236863478232
16-12-2020 06:51:35: 12 2.4460386903398925 -0.6408108147749001 -3767.2544430491525
16-12-2020 06:51:46: 13 -2.5522616345752187 0.5558050149442461 -3913.7487295909445
16-12-2020 06:51:57: 14 -2.661910832067205 0.4614969294775482 -3820.275918672697
16-12-2020 06:52:08: 15 -1.9206145698394739 0.9394350213921737 -3877.712919198476
16-12-2020 06:52:20: 16 -2.9021856760007694 0.23712655947607408 -3709.4508828491385
16-12-2020 06:52:31: 17 -2.221102084868761 0.7958987207100515 -3433.6953767043233
16-12-2020 06:52:43: 18 -0.2528972442387136 0.25021009290221186 -1281.3456241175877
16-12-2020 06:52:56: 19 -0.10671484763771488 0.10651241711168001 -895.2707992418823
16-12-2020 06:53:08: 20 -2.3194799249081868 0.7325855451875857 -3589.199299173656
16-12-2020 06:53:21: 21 -0.1735624414620851 0.1726923561339643 -1762.9384463348342
16-12-2020 06:53:35: 22 -0.21176927621121422 0.21018997949963988 -1864.2926763560881
16-12-2020 06:53:48: 23 -2.322546997774957 0.7304944230297049 -3584.8234089559
16-12-2020 06:54:02: 24 -2.093274311886973 0.8665852549821271 -3705.5788173892
16-12-2020 06:54:16: 25 -0.46759562852710523 0.45074131701854103 -3338.6371010204157
16-12-2020 06:54:31: 26 -0.2051112791695573 0.203676107737465 -1436.1043223391212
16-12-2020 06:54:45: 27 -0.17833673004181705 0.17739292888292638 -1440.9228026867859
16-12-2020 06:55:00: 28 -0.20978458063539662 0.20824920821267365 -1586.1435578055289
16-12-2020 06:55:16: 29 -0.200161012441054 0.19882713113122136 -1137.849521922022
16-12-2020 06:55:32: 30 -0.19482354287335468 0.19359341909378394 -1047.454363648001
16-12-2020 06:55:47: 31 -0.14655903071977328 0.14603492359031198 -1061.8136861858648
16-12-2020 06:56:04: 32 -0.18541160540439527 0.1843510998075333 -1123.9719637212213
16-12-2020 06:56:20: 33 1.68182279980235 -0.9938428898745693 -2929.62240837755
16-12-2020 06:56:37: 34 2.2203063836833437 -0.7963802099002211 -3092.529431041877
16-12-2020 06:56:54: 35 1.6402972618734468 -0.9975857820455288 -3059.3541050005506
16-12-2020 06:57:10: 36 -1.0575545818372287 0.8711573784961373 -1874.105410149789
16-12-2020 06:57:27: 37 3.0804838665107823 -0.06107076125346889 -3448.594048210845
16-12-2020 06:57:44: 38 1.0234824783606378 -0.8539254618342333 -2933.2505426467133
16-12-2020 06:58:02: 39 -2.729703029359979 0.40034162902863274 -3181.6410723583135
16-12-2020 06:58:20: 40 -1.7693011187968093 0.9803625341617098 -3225.7473509165175
16-12-2020 06:58:38: 41 -1.579929989549771 0.9999582883923197 -3219.939124745516
16-12-2020 06:58:56: 42 -1.6856952440271735 0.9934063781519281 -3212.850358010408
16-12-2020 06:59:15: 43 -1.5107337227519784 0.9981967839898647 -3249.6612801710285
16-12-2020 06:59:34: 44 -2.031839363321364 0.8955889560990654 -3159.462511624027
16-12-2020 06:59:53: 45 -2.4681887959030817 0.6236504018418424 -3066.9976590585325
16-12-2020 07:00:12: 46 2.2959607609275325 -0.7483903697461399 -2919.4169432439026
16-12-2020 07:00:32: 47 -2.9149460167613555 0.22471119081656707 -2776.285014394088
16-12-2020 07:00:52: 48 -0.02981888800546173 0.029814469211282873 -1112.9752067853517
16-12-2020 07:01:12: 49 0.006778710928102782 -0.00677865901355259 -1139.1548906596713
16-12-2020 07:01:33: 50 -0.0784233894486821 0.078343027210529 -1715.8449378674059
16-12-2020 07:01:54: 51 -0.028783070634565533 0.028779096504010813 -1656.3988837547904
16-12-2020 07:02:15: 52 -0.0979429362096198 0.09778641982760981 -1849.693126251236
16-12-2020 07:02:37: 53 -0.07652886408417814 0.07645418527668874 -1759.5792444722229
16-12-2020 07:02:58: 54 -0.04820315296071698 0.04818448810516453 -1766.5492535099902
16-12-2020 07:03:20: 55 2.087577027136902 -0.8694142859849523 -3238.236251944
16-12-2020 07:03:42: 56 -1.1435227279443119 0.9100989270129833 -3211.5956923041326
16-12-2020 07:04:05: 57 -1.112261548616802 0.8967020178907189 -3175.1879099208795
16-12-2020 07:04:27: 58 -1.1002891034951183 0.8913384590397594 -3207.6057766158783
16-12-2020 07:04:50: 59 -2.1755618022993026 0.822635463650682 -3155.309070419831
16-12-2020 07:05:14: 60 1.892587912830341 -0.9486703219084437 -3284.464130542282
16-12-2020 07:05:37: 61 -0.8868663355666673 0.7750955693113357 -3144.702658036781
16-12-2020 07:06:01: 62 -2.6904414561825316 0.4360018380316815 -3238.512863256045
16-12-2020 07:06:25: 63 1.8243522544597575 -0.9680265472225605 -3319.2439109753814
16-12-2020 07:06:49: 64 1.535627088116314 -0.9993816260669492 -3385.8893102085376
16-12-2020 07:07:14: 65 1.8312425873110767 -0.9662751570110032 -3398.3234747208658
16-12-2020 07:07:39: 66 -2.165758908459688 0.8281694715642897 -3172.078478987066
16-12-2020 07:08:04: 67 1.2225087879358192 -0.939958534365177 -3388.33114549936
16-12-2020 07:08:30: 68 1.3906180685278988 -0.9838117636554768 -3420.930103322169
16-12-2020 07:08:57: 69 1.2210752631347077 -0.9394683229613064 -3403.800857896363
16-12-2020 07:09:24: 70 1.8970687601584544 -0.9472436602078297 -3406.9907371359786
16-12-2020 07:09:51: 71 1.256210371562677 -0.9509245753003022 -3420.3829922503724
16-12-2020 07:10:19: 72 1.3196188023128945 -0.9686204258295833 -3432.589054807619
16-12-2020 07:10:47: 73 1.4678492297237167 -0.9947056259420385 -3426.9059555701783
16-12-2020 07:11:14: 74 1.134967005398904 -0.9065202458162601 -3420.0720883095505
16-12-2020 07:11:43: 75 1.5006280105015337 -0.9975392136020274 -3431.2782791044383
16-12-2020 07:12:11: 76 1.4225080640542762 -0.9890254280592039 -3395.308446689161
16-12-2020 07:12:41: 77 1.9358716789044248 -0.9340968616304156 -3420.575222528295
16-12-2020 07:13:11: 78 -2.710911371792937 0.4174899674563033 -3610.7746222229284
16-12-2020 07:13:41: 79 -3.107275040077072 0.03431087794180816 -3571.0932167749643
16-12-2020 07:14:11: 80 1.1065318663803474 -0.8941511565114793 -3470.290549859635
16-12-2020 07:14:41: 81 0.28774111761098453 -0.2837869371884509 -1687.4748125766623
16-12-2020 07:15:12: 82 0.28810082934340997 -0.2841318418554833 -1612.3366129472952
16-12-2020 07:15:43: 83 0.31110491280115227 -0.30611069556897547 -1703.3478581515724
16-12-2020 07:16:14: 84 0.3190629925279964 -0.31367698197479965 -1739.4283893709123
16-12-2020 07:16:46: 85 0.3145440476907666 -0.30938292123378586 -1688.3987345680928
16-12-2020 07:17:18: 86 0.3034073019776997 -0.29877360482179965 -1687.2644682443658
16-12-2020 07:17:50: 87 0.32892251860203103 -0.32302349746378506 -1724.5699307408436
16-12-2020 07:18:23: 88 0.3070531967637571 -0.3022509763491136 -1687.563410587272
16-12-2020 07:18:55: 89 0.27059543139219144 -0.2673052488182125 -1610.0835635329067
