Date Time Episode Position Velocity Control Alpha Rho K 
12-02-2021 16:52:47: 0 -1.7238128076651575 -6.2543518171071755 0.857988946247513 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -1.7904087650675153 -7.060257536206794 0.6013079747177144 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -1.8652916669273543 -7.910298828727103 0.33056982305037863 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -1.9488769577917893 -8.798943877076601 0.04753637515109954 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.041511369164003 -9.717954399564402 -0.24516847626126248 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.1434439494048787 -10.656025904898245 -0.5439442507100911 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.2547940769495076 -11.598555364485126 -0.8441398835885123 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.375518137858175 -12.527618202850368 -1.140046397607842 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.5053774001269034 -13.422240543736745 -1.4249836131801534 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.6439104264830853 -14.25903913512974 -1.6915039645388226 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.7904139236369927 -15.013263799985493 -1.9317245202953797 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -2.9439359738364095 -15.660213914566713 -2.137778131789498 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 -3.1032849034053207 -16.176918412990585 -2.3023485145375013 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 3.016129799308114 -16.543886047427915 -2.434152081481034 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 2.8494913081037296 -16.751040201435504 -2.487412292713851 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 2.6816698181946244 -16.782324273114888 -2.495628009500948 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 2.514423221428526 -16.639088897555126 -2.449685126002325 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 2.349475509838724 -16.32656111179714 -2.3500670039904272 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 2.1884709446394686 -15.85516048899159 -2.1999031478048714 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 2.032927794587975 -15.239317525967195 -2.003751817949617 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.8842066550640677 -14.495788773879399 -1.7669425851159248 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.7434961193161467 -13.641913349095054 -1.4950020485085775 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.6118151391238253 -12.694046049898663 -1.1931608139317071 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.4900295299520003 -11.666306274821444 -0.8659982102948556 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.3788790814860947 -10.569704699563264 -0.5173727367229235 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.2790112802634113 -9.411681260957916 -0.1514215925308644 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.1910163990265703 -8.196276036305123 0.2199671143443096 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.1154486470201883 -6.926724646187893 0.5208610094456558 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.052737970109897 -5.624686156679148 0.2322938408793287 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 1.00235298857086 -4.460566342594558 -1.5631345934607674 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.9607319141318413 -3.869797862745313 -2.443120198206371 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.9235453124677733 -3.572638693628935 -2.634337256613395 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.8888978312751421 -3.361644998183624 -2.677530751135465 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.8561546351809879 -3.1916095937355125 -2.666922366155153 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.824990176422443 -3.0457810192666726 -2.6310279083051302 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.7952029758854406 -2.9160651840096463 -2.581550197650923 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.7666546377952694 -2.797926341735516 -2.524269139537383 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.7392433365723212 -2.6885798923634927 -2.4624203835024687 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.7128902201103684 -2.5862124887537097 -2.3979789491558696 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.6875316403964935 -2.4895949575456036 -2.3322223006976617 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.663114384016458 -2.3978687130914875 -2.266007832877837 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.6395926065352713 -2.310418213599673 -2.1999241996199252 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.6169258056959253 -2.2267905393466134 -2.1343812137983798 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.5950774581829998 -2.1466429777543907 -2.0696667903393053 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.5740140918046377 -2.0697082754735505 -2.005984503721833 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.553704647140433 -1.995771441674484 -1.9434788764126523 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.5341200326166886 -1.9246542261085462 -1.8822525438951945 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.5152328091254867 -1.8562047114432358 -1.8223779386575827 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.4970169616779523 -1.7902903015744298 -1.7639052714100658 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.4794477299179709 -1.726792954239549 -1.706868028569867 4.5 2.85 0.3185
12-02-2021 16:52:47: 0 0.46250147889331306 -1.6656058935275624 -1.6512868171721187 4.5 2.85 0.3185
