19-01-2021 21:14:52: Start!
Date Time Episode Position Velocity Reward 
19-01-2021 21:14:53: 0 0.4087835169098817 33.69425966450127 -7161.828026266337
19-01-2021 21:14:54: 1 -2.400867756306093 -4.028086550795939 -4125.746546581643
19-01-2021 21:14:54: 2 2.7395050133199117 -10.04060317883491 -4202.095125150787
19-01-2021 21:14:56: 3 -2.131025345469358 0.9437422056609917 -3862.575692928588
19-01-2021 21:14:57: 4 -2.8936744343646854 0.05066770057879264 -4587.736693704605
19-01-2021 21:14:58: 5 3.021369399622606 -1.083653228841073 -4499.318113047759
19-01-2021 21:14:59: 6 -3.1206834127574723 0.6891454531636572 -4764.786311646705
19-01-2021 21:15:00: 7 2.771226353916931 -6.2140302766785185 -4273.035384030298
19-01-2021 21:15:01: 8 -2.663961512841553 -0.37398370047934937 -4316.810514951179
19-01-2021 21:15:03: 9 1.8534940508307045 3.497837574111436 -4558.523301502181
19-01-2021 21:15:04: 10 -1.7051543434449732 2.1055497970247643 -4119.708042250629
19-01-2021 21:15:06: 11 -2.655119493251135 -8.67033408632097 -3955.2803100664237
19-01-2021 21:15:07: 12 2.203148654125756 9.855887158252056 -3641.823358024756
19-01-2021 21:15:08: 13 -1.6718082542808057 3.8653021075585503 -3778.2964942942313
19-01-2021 21:15:10: 14 0.8887065048065876 0.7240665665438082 -3520.5044974542784
19-01-2021 21:15:11: 15 2.4370562096976123 -44.25131720616621 -7821.075997427616
19-01-2021 21:15:12: 16 2.1511015518090613 10.06172260840382 -3661.869085404797
19-01-2021 21:15:14: 17 -2.71324331837212 -20.855836618905396 -3429.3513107242875
19-01-2021 21:15:15: 18 2.77506016934157 14.140057723472417 -3234.7185683884964
19-01-2021 21:15:16: 19 1.110745363576286 4.152885037964734 -3012.878004896959
19-01-2021 21:15:18: 20 2.858689452625038 13.85319961086999 -3077.4133038681894
19-01-2021 21:15:20: 21 0.024467892099949484 1.4294537896849715 -1771.2780426419683
19-01-2021 21:15:21: 22 -1.5522806778185565 -3.969002289860847 -3306.9077750409388
19-01-2021 21:15:23: 23 1.8140912244961243 -11.337080315016852 -3478.981086085734
19-01-2021 21:15:24: 24 1.575179575838023 -0.9943667513623521 -3547.262062860919
19-01-2021 21:15:26: 25 -3.094573995522639 -13.292803302531807 -3386.0920497746897
19-01-2021 21:15:27: 26 0.7306589720175523 -1.057806057622643 -3262.689191840935
19-01-2021 21:15:28: 27 -1.1121635848745512 2.7756985897868263 -3563.9457100517093
19-01-2021 21:15:30: 28 0.4482478247604158 -0.048312046361930976 -3212.479411638534
19-01-2021 21:15:31: 29 0.7559158422052685 -2.121103011930866 -3292.3073985170563
19-01-2021 21:15:33: 30 0.9606956352469398 0.6792675032899099 -3287.988346310587
19-01-2021 21:15:35: 31 0.3709950954089116 -0.16277968746378102 -2702.041499732874
19-01-2021 21:15:36: 32 0.41095505602222815 -0.7594607850537881 -2326.0366888974822
19-01-2021 21:15:38: 33 2.0716929424387267 -10.428666528420537 -3516.8787462548853
19-01-2021 21:15:40: 34 -0.24164146380734586 1.5141513714505743 -3154.04471696712
19-01-2021 21:15:41: 35 -0.36022405552501624 2.7222582200203433 -3244.5692763397496
19-01-2021 21:15:43: 36 0.20874235227264704 -0.3231876830208534 -2742.96580158287
19-01-2021 21:15:44: 37 1.280308281184003 4.697633009389239 -2852.285919263486
19-01-2021 21:15:46: 38 -1.3533534166164074 -5.107909352187156 -3222.152032758111
19-01-2021 21:15:47: 39 -1.9130940707316881 -7.611835519760387 -3222.492349880332
19-01-2021 21:15:49: 40 -1.7894468726801893 7.395428468352719 -3249.07718948482
19-01-2021 21:15:51: 41 1.2126515434024796 -6.214016868992388 -3509.9643515296293
19-01-2021 21:15:53: 42 0.10493795133922745 -0.8837009277974472 -2790.746435261397
19-01-2021 21:15:54: 43 -0.6419238715119011 0.13630181786988327 -3287.324862472051
19-01-2021 21:15:56: 44 1.147543352576097 3.3557314117313126 -3277.136766944522
19-01-2021 21:15:58: 45 0.14867048640380753 0.317188302821917 -1226.6145035240052
19-01-2021 21:16:00: 46 1.3097458157059325 -5.9838399151263255 -3328.035388436986
19-01-2021 21:16:01: 47 1.1743101185118494 -5.091093870737917 -3383.16305528929
19-01-2021 21:16:03: 48 -3.1210099414614447 16.317353326220605 -3393.8293777674457
19-01-2021 21:16:05: 49 2.0586337657482723 11.953049131518142 -3290.0436599569234
19-01-2021 21:16:06: 50 0.1094428243692569 1.097232551283637 -1807.1665439488186
19-01-2021 21:16:09: 51 0.18079346321788048 -0.13139303911145733 -2954.4914097470996
19-01-2021 21:16:11: 52 -1.7886063018497778 6.123219994290848 -3513.7489675196834
19-01-2021 21:16:12: 53 0.18593784158215998 -0.5414235724987001 -1304.4600189398493
19-01-2021 21:16:14: 54 0.08070916351417035 -0.2060155828400503 -1421.2281986166606
19-01-2021 21:16:16: 55 0.044717608438133105 0.9304949268033855 -1281.2238573549803
19-01-2021 21:16:18: 56 1.2886671916821193 -38.2082426758722 -8031.00039240789
19-01-2021 21:16:20: 57 -0.012153438037527664 0.062204319919344775 -1106.8952157032356
19-01-2021 21:16:21: 58 -1.619256734685269 -34.6265164397995 -9350.424630861933
19-01-2021 21:16:23: 59 0.22097872811095387 -2.2912863039297724 -3380.0333682004525
19-01-2021 21:16:25: 60 -0.3428579085181167 -2.9143748496289907 -1299.6016380149545
19-01-2021 21:16:28: 61 -0.12947665242380335 -0.10032530715119377 -1379.2567454900404
19-01-2021 21:16:30: 62 1.2990166996974253 -26.428145063730405 -4212.368880613897
