Date Time Episode Position Velocity Control Alpha Rho K 
Date Time Episode Position Velocity Control Alpha Rho K 
19-02-2021 19:11:27: 0 0.5546443005457062 0.8630657843020451 -2.088743368217509 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5632596240578556 0.8614473112013186 -2.1558511545637726 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5718032491155887 0.8487358877379392 -2.2094875175407425 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5801841640469267 0.8288895796831345 -2.2358252385575708 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5883705756503526 0.8097936259048026 -2.247213405838981 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.5963907426317601 0.7955930704584198 -2.2643138972173875 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6042838817145961 0.7843523544117834 -2.2975111974790914 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6120549078212374 0.7711489468275239 -2.334252998513092 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.619678310191687 0.7548053549060658 -2.3646566560776665 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6271312942644771 0.7370351354621572 -2.389536842431857 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.634406795384598 0.7192740363034674 -2.4110205613285856 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6415088653329604 0.7023130977595298 -2.432449202349482 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6484445336357152 0.6859599021594851 -2.4536671548967153 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6552191908554899 0.6700786416580404 -2.475455739553205 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6618357651492781 0.6543128272781611 -2.4976692410190844 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6682938806401002 0.6383574797260041 -2.519858274760664 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6745908001623011 0.6220445897156818 -2.540938610420521 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6807237087289919 0.6055257442834375 -2.560152911212297 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.68669240813845 0.5891725321909257 -2.5907789684550857 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.6924808794157942 0.5694571863062659 -2.6214272692785254 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.698054736303928 0.546222298018655 -2.6400836854975562 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7033955486910166 0.5228096767447453 -2.650019049170078 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7085132100868812 0.5015492218396393 -2.6594373051045825 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7134287581102337 0.4823479361234706 -2.6721977962180796 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7181567380368516 0.46400227466025795 -2.687713937824633 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7227006751883795 0.4455095763869001 -2.702651174640393 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7270590610921488 0.42686233078494734 -2.7153047405776016 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7312328216945385 0.4085539493165513 -2.724275635476891 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7352298549585412 0.391485348090077 -2.7025129517544637 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7391068234725835 0.38449449048928896 -2.6874268164334647 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7429534479277824 0.38538910929437376 -2.6984331479660377 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7468095170083471 0.3863825439856323 -2.729292362688941 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.750646806073227 0.38164366538273514 -2.757750140389141 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7544117556875594 0.3719155385500328 -2.771610769527454 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7580758900702964 0.36146614817176714 -2.7726820751765415 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7616503583920711 0.3539598319752241 -2.772400891220017 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7651659511442768 0.3496723205184729 -2.7762531007344444 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7686482670345809 0.34729295443337643 -2.7872828949281425 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7721055188807742 0.34465498391526234 -2.8025996851714092 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7755286793683185 0.34047233660359766 -2.8172173470940707 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7789032382217247 0.33492981965168056 -2.8279415149023786 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7822211579844236 0.3291356641888076 -2.835451406138362 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7854843805991942 0.32397951047009693 -2.842433062474228 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7886997473205031 0.3195543812097474 -2.8499989377004034 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7918734184503515 0.3156318121712543 -2.8585398351227815 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7950087373509986 0.3118767621587633 -2.8678901475630374 0.0 0.0 0.0
19-02-2021 19:11:27: 0 0.7981059777745703 0.30800977238902216 -2.8783999582744846 0.0 0.0 0.0
