14-02-2021 15:32:23: Start!
Date Time Episode Position Velocity Control 
14-02-2021 15:32:23: 0 -3.137189760500723 0.8773686665896671 2.9998605
14-02-2021 15:32:23: 0 -3.1241260458642524 1.7305161115462964 2.9999046
14-02-2021 15:32:23: 0 -3.102692499607926 2.549771506682469 2.9998548
14-02-2021 15:32:23: 0 -3.0732744122975726 3.325966637382555 2.9994802
14-02-2021 15:32:23: 0 -3.0363485375506 4.050002323371369 2.9966145
14-02-2021 15:32:23: 0 -2.9924947549317924 4.710390317217552 2.9801376
14-02-2021 15:32:23: 0 -2.942507121723933 5.275891776943015 2.8787248
14-02-2021 15:32:23: 0 -2.8876312291773356 5.687613419838988 2.5914357
14-02-2021 15:32:23: 0 -2.82993526645165 5.8402153500742715 1.9490716
14-02-2021 15:32:23: 0 -2.7719762873050806 5.7410417489445775 1.3199761
14-02-2021 15:32:23: 0 -2.716170601759883 5.410800960751401 0.7398398
14-02-2021 15:32:23: 0 -2.6649899786778715 4.8177964885458335 0.021837132
14-02-2021 15:32:23: 0 -2.6226555468546016 3.6448629796405787 -1.8205051
14-02-2021 15:32:23: 0 -2.5937023618514985 2.144844645280672 -2.8747194
14-02-2021 15:32:23: 0 -2.579842926161936 0.6287555579266366 -2.9372246
14-02-2021 15:32:23: 0 -2.5810870175828438 -0.8733610685113999 -2.9502301
14-02-2021 15:32:23: 0 -2.5972746670872846 -2.3574881905395304 -2.9999933
14-02-2021 15:32:23: 0 -2.6280790727776173 -3.794304951119172 -3.0000005
14-02-2021 15:32:23: 0 -2.672954994009519 -5.169390100528728 -3.0
14-02-2021 15:32:23: 0 -2.7312130960513024 -6.468344327739767 -3.0
14-02-2021 15:32:23: 0 -2.802020416657048 -7.676871517619646 -3.0
14-02-2021 15:32:23: 0 -2.884402640646468 -8.781061265049505 -3.0
14-02-2021 15:32:23: 0 -2.977250201133928 -9.767868769585666 -3.0
14-02-2021 15:32:23: 0 -3.079330037284076 -10.62575765274115 -3.0
14-02-2021 15:32:23: 0 3.0938809824471534 -11.345437735795324 -3.0
14-02-2021 15:32:23: 0 2.977428639075976 -11.92060199560517 -3.0
14-02-2021 15:32:23: 0 2.8559601059516693 -12.348552581108997 -3.0
14-02-2021 15:32:23: 0 2.7309443585274398 -12.63061123934308 -3.0
14-02-2021 15:32:23: 0 2.603816433083824 -12.772236672537371 -3.0
14-02-2021 15:32:23: 0 2.475936828834146 -12.78281589863635 -2.9999998
14-02-2021 15:32:23: 0 2.348554576250134 -12.675147165402556 -2.9999924
14-02-2021 15:32:23: 0 2.2227769563208053 -12.464641361042185 -2.9998217
14-02-2021 15:32:23: 0 2.0995475327171533 -12.16847569678659 -2.9994988
14-02-2021 15:32:23: 0 1.979632810764075 -11.804732386875468 -2.999266
14-02-2021 15:32:23: 0 1.8636180948696133 -11.391435442340947 -2.9990277
14-02-2021 15:32:23: 0 1.7519116216233401 -10.945868069423755 -2.9988282
14-02-2021 15:32:23: 0 1.6447544920605166 -10.48409961094025 -2.9989493
14-02-2021 15:32:23: 0 1.54223531660163 -10.020516223528373 -2.9992714
14-02-2021 15:32:23: 0 1.4443087163166632 -9.567515236652424 -2.9992123
14-02-2021 15:32:23: 0 1.350814978728657 -9.135573598457526 -2.9984822
14-02-2021 15:32:23: 0 1.2615002522612713 -8.733066408478873 -2.9958458
14-02-2021 15:32:23: 0 1.1760462255055053 -8.364549029764595 -2.9836047
14-02-2021 15:32:23: 0 1.0941827523466072 -8.015907428649161 -2.9026108
14-02-2021 15:32:23: 0 1.015946524002337 -7.6399704173862 -2.6433678
14-02-2021 15:32:23: 0 0.9415577761936778 -7.247035545686421 -2.4038267
14-02-2021 15:32:23: 0 0.8711664346414434 -6.840897970894995 -2.1666627
14-02-2021 15:32:23: 0 0.8047839343838952 -6.445436918977969 -2.0045373
14-02-2021 15:32:23: 0 0.7424123542784855 -6.038785643103349 -1.7659116
14-02-2021 15:32:23: 0 0.6842938139634711 -5.594795291421249 -1.4383296
14-02-2021 15:32:23: 0 0.6306687912546902 -5.139814361459722 -1.203092
14-02-2021 15:32:23: 0 0.5814750513178488 -4.708078364232323 -1.0912676
14-02-2021 15:32:23: 0 0.5364042754996987 -4.314680229352938 -1.0407847
14-02-2021 15:32:23: 0 0.49497276950123137 -3.979640005275157 -1.0695963
14-02-2021 15:32:23: 0 0.45678015492699764 -3.666429598953586 -0.9853966
14-02-2021 15:32:23: 0 0.4217660804689962 -3.3435111390797334 -0.8034212
14-02-2021 15:32:23: 0 0.389923036887581 -3.031712622425808 -0.70149124
14-02-2021 15:32:23: 0 0.3610386502312375 -2.751224862646668 -0.6788109
14-02-2021 15:32:23: 0 0.33477166510934886 -2.5077030209492635 -0.6863143
14-02-2021 15:32:23: 0 0.3107267851861568 -2.3063178648699374 -0.72165805
14-02-2021 15:32:23: 0 0.2885190952287666 -2.1398585676607693 -0.7416375
14-02-2021 15:32:23: 0 0.26783110944192456 -2.002038633187177 -0.74788415
14-02-2021 15:32:23: 0 0.2484791009239098 -1.872407607549243 -0.69086796
14-02-2021 15:32:23: 0 0.23039781440484486 -1.7476548034032255 -0.62766194
14-02-2021 15:32:23: 0 0.21353558924931804 -1.6283599696829147 -0.5712443
14-02-2021 15:32:23: 0 0.19783589896228726 -1.5149187550684278 -0.5208858
14-02-2021 15:32:23: 0 0.18323908082379958 -1.4075644784079553 -0.475891
14-02-2021 15:32:23: 0 0.16968383288698252 -1.3063929284913864 -0.435618
14-02-2021 15:32:23: 0 0.15712154228484554 -1.2087757629914353 -0.39059383
14-02-2021 15:32:23: 0 0.14559307461151372 -1.0994621390779165 -0.29758245
14-02-2021 15:32:23: 0 0.13517953434345564 -0.9855878103135456 -0.23249707
14-02-2021 15:32:24: 0 0.12588972753594163 -0.874490511682552 -0.19661856
14-02-2021 15:32:24: 0 0.11767226786261897 -0.770889997629469 -0.18133853
14-02-2021 15:32:24: 0 0.11044119180718281 -0.6769956622397585 -0.17808092
14-02-2021 15:32:24: 0 0.10409895343348907 -0.5929226522933044 -0.17945863
14-02-2021 15:32:24: 0 0.09854943181478903 -0.5182720670520142 -0.1833449
14-02-2021 15:32:24: 0 0.09370212453481219 -0.4523189874624358 -0.18823865
14-02-2021 15:32:24: 0 0.08948803334056388 -0.3914909400253204 -0.1840605
14-02-2021 15:32:24: 0 0.08586839806625202 -0.33330398586136517 -0.17412359
14-02-2021 15:32:24: 0 0.08280945140250351 -0.27923200545864113 -0.17167003
14-02-2021 15:32:24: 0 0.08026409631463727 -0.23047046315221242 -0.17566887
14-02-2021 15:32:24: 0 0.0781766829422903 -0.18753797516813533 -0.18366872
14-02-2021 15:32:24: 0 0.076489675354658 -0.15029528496777594 -0.19322506
14-02-2021 15:32:24: 0 0.07514804156147159 -0.11838097513431028 -0.2033469
14-02-2021 15:32:24: 0 0.07410035055038833 -0.09143556384671478 -0.21380863
14-02-2021 15:32:24: 0 0.07329891514126885 -0.06906911749234407 -0.22428864
14-02-2021 15:32:24: 0 0.07269946450092579 -0.050987377319788155 -0.2349087
14-02-2021 15:32:24: 0 0.07226236386505347 -0.03655738017272893 -0.24432805
14-02-2021 15:32:24: 0 0.07195402360059999 -0.025201725288316247 -0.25255567
14-02-2021 15:32:24: 0 0.07174631856503444 -0.016403677613111643 -0.25964397
14-02-2021 15:32:24: 0 0.07161597678984277 -0.00970821682955975 -0.2656729
14-02-2021 15:32:24: 0 0.0715439716817472 -0.004720291766053697 -0.27073795
14-02-2021 15:32:24: 0 0.07151493742694992 -0.001101924021922546 -0.27494383
14-02-2021 15:32:24: 0 0.07151662421017457 0.0014328605843406225 -0.27839458
14-02-2021 15:32:24: 0 0.07153940258136027 0.003122803416986294 -0.28119224
14-02-2021 15:32:24: 0 0.07157582157965692 0.004165400406799079 -0.28343058
14-02-2021 15:32:24: 0 0.07162022061433948 0.00472167985381704 -0.2851972
14-02-2021 15:32:24: 0 0.07166839084617482 0.004921333523620881 -0.28657067
