Date Time Episode Position Velocity Control Alpha Rho K 
21-02-2021 01:19:06: 0 -3.141592653589793 1.4414209340600799e-16 0.0 16.217365 13.778031 22.88339
21-02-2021 01:19:06: 0 -3.141592653589793 2.8599762580237784e-16 3.0 16.217365 13.778031 22.88339
21-02-2021 01:19:06: 0 -3.1371895557935607 0.8774094587796002 3.0 17.429491 13.95497 25.203615
21-02-2021 01:19:06: 0 -3.1241252985149526 1.730583669121135 3.0 17.243834 12.912019 26.295092
21-02-2021 01:19:06: 0 -3.1026908746782764 2.549879184855761 3.0 16.444618 10.977431 26.402832
21-02-2021 01:19:06: 0 -3.073270967983616 3.326222083566162 3.0 14.429524 8.033921 25.295776
21-02-2021 01:19:06: 0 -3.0363376153373522 4.051238373586177 3.0 12.3415575 4.6403437 23.881083
21-02-2021 01:19:06: 0 -2.992442506182245 4.717396116474399 3.0 10.565812 1.4002054 22.212706
21-02-2021 01:19:06: 0 -2.942207812889704 5.318156146647675 3.0 8.819564 0.6841076 19.881327
21-02-2021 01:19:06: 0 -2.886315502544326 5.848123366278386 3.0 7.0851507 2.85033 17.327875
21-02-2021 01:19:06: 0 -2.825495181520365 6.303186647775648 3.0 5.7008567 4.100615 14.990021
21-02-2021 01:19:06: 0 -2.7605106569037945 6.6806331121713916 3.0 5.0723147 2.8458207 13.772032
21-02-2021 01:19:06: 0 -2.6921455434531376 6.979222478013104 3.0 4.279923 1.3075228 12.5287895
21-02-2021 01:19:06: 0 -2.621188378368789 7.19920945474922 3.0 3.519299 0.06291908 11.135394
21-02-2021 01:19:06: 0 -2.5484178060579303 7.342306527912266 3.0 3.9867013 1.7281799 9.879286
21-02-2021 01:19:06: 0 -2.4745884434223946 7.411585285767354 3.0 6.373971 4.491984 8.967726
21-02-2021 01:19:06: 0 -2.4004180232558916 7.411320718741741 3.0 8.979137 7.4683714 8.070802
21-02-2021 01:19:06: 0 -2.326576339516567 7.3467886500061255 3.0 11.52126 9.449084 7.944993
21-02-2021 01:19:06: 0 -2.253676393756189 7.224030735160638 3.0 14.609735 11.554697 8.292931
21-02-2021 01:19:06: 0 -2.1822679844799193 7.0496037327730745 3.0 17.767859 13.400456 8.84392
21-02-2021 01:19:06: 0 -2.112833811956267 6.830329842963066 3.0 20.129164 14.818906 9.11677
21-02-2021 01:19:06: 0 -2.0457880107522426 6.573063082996328 3.0 21.6664 15.774104 9.093256
21-02-2021 01:19:06: 0 -1.9814768877844804 6.28448344990006 3.0 22.929499 16.505522 9.020764
21-02-2021 01:19:06: 0 -1.9201815455747315 5.97092667623699 3.0 23.948402 16.991919 8.907335
21-02-2021 01:19:06: 0 -1.862122012625325 5.638253362379016 3.0 24.703524 17.279646 8.751404
21-02-2021 01:19:06: 0 -1.8074624834657564 5.291757680433546 3.0 25.316366 17.510124 8.609537
21-02-2021 01:19:06: 0 -1.7563172838293628 4.936113016327889 3.0 25.760984 17.625608 8.545047
21-02-2021 01:19:06: 0 -1.708757213186808 4.57534998090103 3.0 25.977095 17.595697 8.723723
21-02-2021 01:19:06: 0 -1.6648159685684583 4.212861154664936 3.0 25.755651 17.343317 8.80054
21-02-2021 01:19:06: 0 -1.6244964121330856 3.851426605844952 3.0 25.266691 16.870436 8.848877
21-02-2021 01:19:06: 0 -1.5877765037521252 3.4932544572138564 3.0 24.647705 16.158176 8.856153
21-02-2021 01:19:06: 0 -1.5546147743190621 3.140031385138397 3.0 23.818302 15.148789 8.912284
21-02-2021 01:19:06: 0 -1.5249552627120133 2.792978745204759 3.0 23.068087 13.896316 9.075055
21-02-2021 01:19:06: 0 -1.4987318780062422 2.452910898712934 3.0 22.264322 12.68536 9.145102
21-02-2021 01:19:06: 0 -1.4758721784702962 2.1202931680349058 3.0 21.08808 11.552429 9.046797
21-02-2021 01:19:06: 0 -1.4563005806713178 1.7952976168911507 3.0 19.90518 10.442268 8.853687
21-02-2021 01:19:06: 0 -1.4399410266913275 1.4778555036098544 3.0 18.780546 9.219067 8.723021
21-02-2021 01:19:06: 0 -1.4267191462377653 1.1677057821927876 3.0 17.550787 7.936181 8.683031
21-02-2021 01:19:06: 0 -1.4165639545562811 0.864439432227524 3.0 16.420744 6.7080564 8.3088875
21-02-2021 01:19:06: 0 -1.4094091276683525 0.5675396969848502 3.0 15.459257 5.823314 7.361225
21-02-2021 01:19:06: 0 -1.405193894561041 0.2764185155209135 3.0 14.273949 5.204629 6.2961226
21-02-2021 01:19:06: 0 -1.4038635823858154 -0.009550434184804085 3.0 13.007218 4.6748886 5.2059536
21-02-2021 01:19:06: 0 -1.4053698461532296 -0.2910015929288646 3.0 11.849658 4.1740355 4.1678615
21-02-2021 01:19:06: 0 -1.4096706093753149 -0.5685497669280712 1.8043988865602447 11.056557 3.8472703 3.0217395
21-02-2021 01:19:06: 0 -1.4184865250092074 -1.193241230140551 0.24160611260486187 9.890052 4.3087287 1.3237303
21-02-2021 01:19:06: 0 -1.4358057663880048 -2.268234344008721 1.3061980538808622 10.205205 6.3529944 0.34427568
21-02-2021 01:19:06: 0 -1.4622419790416057 -3.0176479232315803 3.0 10.491596 7.0309315 0.24038264
